id,code,name,city_id/id,active
res_parish_ec_421,1,La Victoria,res_city_66,True
res_parish_ec_422,2,Platanillos,res_city_66,True
res_parish_ec_423,3,Valle Hermoso,res_city_66,True
res_parish_ec_424,4,La Victoria,res_city_66,True
res_parish_ec_425,5,La Libertad,res_city_66,True
res_parish_ec_426,6,El Paraíso,res_city_66,True
res_parish_ec_427,7,San Isidro,res_city_66,True
res_parish_ec_428,1,Bartolomé Ruiz (César Franco Carrión),res_city_67,True
res_parish_ec_429,2,5 De Agosto,res_city_67,True
res_parish_ec_430,3,Esmeraldas,res_city_67,True
res_parish_ec_431,4,Luis Tello (Las Palmas),res_city_67,True
res_parish_ec_432,5,Simón Plata Torres,res_city_67,True
res_parish_ec_433,6,Esmeraldas,res_city_67,True
res_parish_ec_434,7,Atacames,res_city_67,True
res_parish_ec_435,8,Camarones (Cab. En San Vicente),res_city_67,True
res_parish_ec_436,9,Crnel. Carlos Concha Torres (Cab.En Huele),res_city_67,True
res_parish_ec_437,10,Chinca,res_city_67,True
res_parish_ec_438,11,Chontaduro,res_city_67,True
res_parish_ec_439,12,Chumundé,res_city_67,True
res_parish_ec_440,13,Lagarto,res_city_67,True
res_parish_ec_441,14,La Unión,res_city_67,True
res_parish_ec_442,15,Majua,res_city_67,True
res_parish_ec_443,16,Montalvo (Cab. En Horqueta),res_city_67,True
res_parish_ec_444,17,Río Verde,res_city_67,True
res_parish_ec_445,18,Rocafuerte,res_city_67,True
res_parish_ec_446,19,San Mateo,res_city_67,True
res_parish_ec_447,20,Súa (Cab. En La Bocana),res_city_67,True
res_parish_ec_448,21,Tabiazo,res_city_67,True
res_parish_ec_449,22,Tachina,res_city_67,True
res_parish_ec_450,23,Tonchigüe,res_city_67,True
res_parish_ec_451,24,Vuelta Larga,res_city_67,True
res_parish_ec_452,1,Valdez (Limones),res_city_68,True
res_parish_ec_453,2,Anchayacu,res_city_68,True
res_parish_ec_454,3,Atahualpa (Cab. En Camarones),res_city_68,True
res_parish_ec_455,4,Borbón,res_city_68,True
res_parish_ec_456,5,La Tola,res_city_68,True
res_parish_ec_457,6,Luis Vargas Torres (Cab. En Playa De Oro),res_city_68,True
res_parish_ec_458,7,Maldonado,res_city_68,True
res_parish_ec_459,8,Pampanal De Bolívar,res_city_68,True
res_parish_ec_460,9,San Francisco De Onzole,res_city_68,True
res_parish_ec_461,10,Santo Domingo De Onzole,res_city_68,True
res_parish_ec_462,11,Selva Alegre,res_city_68,True
res_parish_ec_463,12,Telembí,res_city_68,True
res_parish_ec_464,13,Colón Eloy Del María,res_city_68,True
res_parish_ec_465,14,San José De Cayapas,res_city_68,True
res_parish_ec_466,15,Timbiré,res_city_68,True
res_parish_ec_467,25,Muisne,res_city_69,True
res_parish_ec_468,1,Bolívar,res_city_69,True
res_parish_ec_469,2,Daule,res_city_69,True
res_parish_ec_470,3,Galera,res_city_69,True
res_parish_ec_471,4,Quingue (Olmedo Perdomo Franco),res_city_69,True
res_parish_ec_472,5,Salima,res_city_69,True
res_parish_ec_473,6,San Francisco,res_city_69,True
res_parish_ec_474,7,San Gregorio,res_city_69,True
res_parish_ec_475,8,San José De Chamanga (Cab.En Chamanga),res_city_69,True
res_parish_ec_476,1,Rosa Zárate (Quinindé),res_city_70,True
res_parish_ec_477,2,Cube,res_city_70,True
res_parish_ec_478,3,Chura (Chancama) (Cab. En El Yerbero),res_city_70,True
res_parish_ec_479,4,Malimpia,res_city_70,True
res_parish_ec_480,5,Viche,res_city_70,True
res_parish_ec_481,6,La Unión,res_city_70,True
res_parish_ec_482,1,San Lorenzo,res_city_71,True
res_parish_ec_483,2,Alto Tambo (Cab. En Guadual),res_city_71,True
res_parish_ec_484,3,Ancón (Pichangal) (Cab. En Palma Real),res_city_71,True
res_parish_ec_485,4,Calderón,res_city_71,True
res_parish_ec_486,5,Carondelet,res_city_71,True
res_parish_ec_487,6,5 De Junio (Cab. En Uimbi),res_city_71,True
res_parish_ec_488,7,Concepción,res_city_71,True
res_parish_ec_489,8,Mataje (Cab. En Santander),res_city_71,True
res_parish_ec_490,9,San Javier De Cachaví (Cab. En San Javier),res_city_71,True
res_parish_ec_491,10,Santa Rita,res_city_71,True
res_parish_ec_492,11,Tambillo,res_city_71,True
res_parish_ec_493,12,Tululbí (Cab. En Ricaurte),res_city_71,True
